Account Name,Hero Ad,Version,Creator Name,Min Date,Max Date,Spend,Impressions,Installs,Post Engagement,Video Views,Purchases,CTR (%),CPC ($),CPI ($),Installs Per Mile,CPA ($),Purchase Per Mile,3sec Video View Rate (%),25% Video View Rate (%),50% Video View Rate (%),75% Video View Rate (%),100% Video View Rate (%),Install Rate (%),Subs Rate (%),revenue,ROAS
Videoleap IOS - UTC,AIVoiceSwapXmas,Mike,manuel,3/1/2023,6/24/2024,$213.00,"11,996",15,"4,015","3,928",3,0.55%,$3.23,$14.2,125.04%,$71.00,25.01%,32.70%,17.60%,8.40%,5.90%,3.50%,22.70%,20.00%,,
Videoleap IOS - UTC,AIVoiceSwapXmas,Madalyn,manuel,3/1/2023,6/24/2024,$49.59,"3,333",2,930,902,,0.69%,$2.16,$24.8,60.01%,,,27.10%,18.10%,6.10%,4.10%,1.70%,8.70%,,,
Videoleap IOS - UTC,Recolor10Sec,Video,manuel,3/1/2023,6/24/2024,$158.71,"103,490",33,"17,294","16,563",,0.66%,$0.23,$4.8,31.89%,,,16.00%,12.90%,6.20%,2.70%,1.30%,4.80%,,,
Videoleap IOS - UTC,Segmentation,Jump,manuel,3/1/2023,6/24/2024,$84.10,"16,154",3,"3,044","2,972",,0.29%,$1.79,$28.0,18.57%,,,18.40%,8.30%,4.00%,2.60%,1.40%,6.40%,,,
Videoleap IOS - UTC,RemoveforSMB,product,manuel,3/1/2023,6/24/2024,$47.03,"3,354",,568,550,,0.51%,$2.77,,,,,16.40%,10.60%,4.60%,3.20%,2.10%,,,,
Videoleap IOS - UTC,AicolorGradee,Color,manuel,3/1/2023,6/24/2024,$13.57,"5,154",,921,890,,0.39%,$0.68,,,,,17.30%,9.00%,4.90%,3.50%,2.30%,,,,
Videoleap IOS - UTC,AIFX20,Manu,manuel,3/1/2023,6/24/2024,$12.20,"4,283",1,"1,426","1,418",,0.12%,$2.44,$12.2,23.35%,,,33.10%,25.60%,10.60%,5.10%,3.30%,20.00%,,,
Videoleap IOS - UTC,AIBFGym,Sammy,manuel,3/1/2023,6/24/2024,$10.37,"1,325",,370,364,,0.15%,$5.19,,,,,27.50%,12.30%,4.30%,2.30%,1.40%,,,,
Videoleap IOS - UTC,PanoramaSMB,Tattoo,manuel,3/1/2023,6/24/2024,$3.57,"1,618",,357,350,,0.25%,$0.89,,,,,21.60%,9.50%,3.50%,2.20%,1.30%,,,,
Videoleap IOS - UTC,PanoramaSMB,chef,manuel,3/1/2023,6/24/2024,$1.23,647,,125,123,,0.00%,,,,,,19.00%,7.10%,1.70%,1.20%,0.80%,,,,
